,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
20,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5h6O8kOSivahcPg4Rlgp15,Banarasiya,A.R. Rahman,46,2013-05-31,0.677,0.145,90.952,0.0873,0.575,0,0.752,289347,-8.618,0.719,1,2
21,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,4wgR8jjv934KJhvGq8EpYR,Banthan Ke,Sukhwinder Singh,46,2000-10-11,0.633,0.351,104.649,0.0936,0.178,0,0.84,288173,-12.176,0.467,1,0
22,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5gSVKG0R4xc8qtDIoyDNy8,Saada Pyaar,AP Dhillon,68,2020-12-23,0.655,0.118,91.004,0.0866,0.0391,0,0.743,213626,-5.228,0.164,0,7
23,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,6UOJNPJJbr6Qx4zNRwJpMb,Kangi Wanwan,Neha Bhasin,16,2020-06-01,0.552,0.162,95.979,0.038,0.541,0,0.743,250132,-5.644,0.704,1,0
24,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0AUpI582sR4YTMlgdZEwUe,"Paani Raavi Da (From ""Lahoriye"" Soundtrack)",Neha Bhasin,32,2017-05-05,0.551,0.127,116.938,0.0332,0.152,0,0.797,292392,-7.709,0.483,1,8
25,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,4BD5sU6ipQpcr7ejI7BjZq,Jutti Kasuri,Harshdeep Kaur,26,2015-03-30,0.386,0.0942,95.303,0.0314,0.884,0,0.589,204844,-8.739,0.34,0,3
26,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,1oS93JUSQLIt4Q07HCgnwM,Jind Mahi,Sunidhi Chauhan,34,2015-07-23,0.74,0.116,167.961,0.107,0.54,0,0.718,135218,-2.827,0.556,1,11
27,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,7lvDsmTRXFE3dK4OjvRiWB,Pasoori,Shae Gill,85,2022-02-06,0.596,0.0625,91.991,0.043,0.0657,0,0.714,224147,-6.206,0.669,0,11
28,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5DSFsWFoGi37SivNJAoTi4,Yariyaan,Hari & Sukhmani,33,2016-03-10,0.403,0.0757,116.41,0.0312,0.183,6.33e-05,0.373,311186,-10.829,0.206,1,2
29,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,05REArTDZQd59A9Y4XC0Aq,Maine Khud Ko,Mustafa Zahid,60,2014-02-28,0.52,0.0821,102.975,0.0249,0.674,0.00129,0.648,329072,-8.543,0.492,1,7
30,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5mnvugwfFYnJm9zuyGkgqF,"Ghalat Fehmi - From ""Superstar""",Asim Azhar,66,2019-07-25,0.588,0.189,134.014,0.091,0.608,9.3e-05,0.758,286008,-7.777,0.796,0,11
31,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,58AkcBdW5NpM2TBbkKbdK3,Latthay Di Chaadar,Farhan Saeed,52,2017-09-04,0.607,0.102,158.905,0.0366,0.613,2.64e-05,0.675,478808,-7.241,0.655,1,10
32,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5o6q9gQXi5umBrUczroW79,"Kalle Kalle (From ""Chandigarh Kare Aashiqui"")",Priya Saraiya,65,2021-11-22,0.417,0.106,115.939,0.0438,0.73,2.07e-05,0.707,227143,-9.269,0.57,1,1
33,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,4wbedCVVHRH1Gc0YuCoNj6,Wah Kya Nazare (feat. Gaby Fuego),Harnoor,54,2021-12-20,0.468,0.122,125.829,0.24,0.127,0,0.677,176019,-7.866,0.518,1,9
34,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0pGc8mPO8yyUoJ3knUvPsq,Nadi Nehar De Kande,Neha Bhasin,14,2020-06-01,0.406,0.166,97.997,0.0304,0.825,0.000378,0.794,211609,-7.753,0.883,1,2
